60-64,Country,50-54,55-59,70-74,65-69,Year,Country_Name,Male,Cause,75 +
6.0,2045,0.0,1.0,4.0,1.0,1989,Belize,0,B28,27.0
4.0,2045,3.0,1.0,3.0,1.0,1989,Belize,1,B29,12.0
1.0,2045,1.0,3.0,6.0,2.0,1989,Belize,0,B29,11.0
0.0,2045,0.0,1.0,0.0,0.0,1989,Belize,1,B30,2.0
0.0,2045,0.0,0.0,1.0,0.0,1989,Belize,0,B30,0.0
0.0,2045,0.0,0.0,0.0,1.0,1990,Belize,1,B26,3.0
4.0,2045,0.0,0.0,0.0,0.0,1990,Belize,0,B26,9.0
2.0,2045,3.0,4.0,4.0,3.0,1990,Belize,1,B27,4.0
0.0,2045,2.0,0.0,2.0,1.0,1990,Belize,0,B27,18.0
1.0,2045,0.0,1.0,4.0,0.0,1990,Belize,1,B28,11.0
2.0,2045,0.0,2.0,12.0,6.0,1990,Belize,0,B28,21.0
3.0,2045,0.0,2.0,1.0,4.0,1990,Belize,1,B29,10.0
3.0,2045,2.0,3.0,3.0,2.0,1990,Belize,0,B29,11.0
0.0,2045,0.0,1.0,2.0,0.0,1990,Belize,1,B30,1.0
0.0,2045,0.0,1.0,0.0,0.0,1990,Belize,0,B30,1.0
0.0,2045,1.0,2.0,2.0,0.0,1991,Belize,1,B26,3.0
0.0,2045,0.0,0.0,1.0,1.0,1991,Belize,0,B26,3.0
6.0,2045,4.0,1.0,3.0,2.0,1991,Belize,1,B27,14.0
2.0,2045,2.0,2.0,3.0,4.0,1991,Belize,0,B27,6.0
3.0,2045,0.0,4.0,11.0,7.0,1991,Belize,1,B28,22.0
2.0,2045,3.0,1.0,4.0,4.0,1991,Belize,0,B28,31.0
4.0,2045,0.0,2.0,1.0,4.0,1991,Belize,1,B29,8.0
1.0,2045,0.0,0.0,2.0,1.0,1991,Belize,0,B29,10.0
1.0,2045,0.0,0.0,0.0,0.0,1991,Belize,1,B30,2.0
0.0,2045,0.0,0.0,0.0,0.0,1991,Belize,0,B30,1.0
0.0,2045,1.0,0.0,0.0,1.0,1993,Belize,1,B26,0.0
0.0,2045,0.0,0.0,0.0,2.0,1993,Belize,0,B26,1.0
2.0,2045,2.0,2.0,8.0,5.0,1993,Belize,1,B27,13.0
3.0,2045,2.0,2.0,2.0,8.0,1993,Belize,0,B27,9.0
2.0,2045,1.0,4.0,9.0,2.0,1993,Belize,1,B28,24.0
2.0,2045,4.0,3.0,10.0,3.0,1993,Belize,0,B28,28.0
3.0,2045,2.0,0.0,2.0,6.0,1993,Belize,1,B29,17.0
1.0,2045,2.0,0.0,6.0,4.0,1993,Belize,0,B29,15.0
1.0,2045,0.0,0.0,0.0,0.0,1993,Belize,1,B30,2.0
0.0,2045,0.0,0.0,0.0,0.0,1993,Belize,0,B30,0.0
0.0,2045,0.0,0.0,0.0,0.0,1994,Belize,1,B26,0.0
0.0,2045,0.0,0.0,0.0,0.0,1994,Belize,0,B26,1.0
3.0,2045,3.0,6.0,7.0,3.0,1994,Belize,1,B27,9.0
3.0,2045,0.0,2.0,4.0,2.0,1994,Belize,0,B27,8.0
4.0,2045,1.0,0.0,11.0,7.0,1994,Belize,1,B28,25.0
7.0,2045,3.0,3.0,5.0,2.0,1994,Belize,0,B28,33.0
3.0,2045,0.0,3.0,4.0,2.0,1994,Belize,1,B29,13.0
2.0,2045,1.0,1.0,7.0,2.0,1994,Belize,0,B29,16.0
0.0,2045,0.0,1.0,0.0,1.0,1994,Belize,1,B30,1.0
0.0,2045,0.0,1.0,0.0,0.0,1994,Belize,0,B30,1.0
0.0,2045,0.0,0.0,0.0,1.0,1995,Belize,1,B26,4.0
